Age Group,Category,Code,Sex,Year,Population (#),Population (#) - Female,Population (#) - Male
Under 5,Population,IRL,Male,1/1/2008,0M,,169595.370879565
80 plus,Population,FIN,Male,1/1/2011,0M,,85043.935636836
70 to 74,Population,MDG,Male,1/1/2014,0M,,68312.626462398
25 to 29,Population,IDN,Male,1/1/2015,10M,,10311064.0071533
55 to 59,Population,ROU,Female,1/1/2014,1M,745071.113271042,
Under 5,Population,BTN,Female,1/1/2014,0M,44794.291148587,
5 to 9,Population,UGA,Male,1/1/2015,3M,,3019834.16932262
40 to 44,Population,KHM,Male,1/1/2009,0M,,370254.927309034
40 to 44,Population,ARM,Male,1/1/2015,0M,,84575.875140857
5 to 9,Population,BEL,Female,1/1/2010,0M,292104.000920487,
15 to 19,Population,OMN,Female,1/1/2008,0M,135642.929179899,
25 to 29,Population,VIR,Male,1/1/2017,0M,,2620.433055380
60 to 64,Population,KIR,Female,1/1/2015,0M,1475.224607947,
35 to 39,Population,PSE,Female,1/1/2015,0M,128995.006117525,
35 to 39,Population,HRV,Male,1/1/2011,0M,,147460.200697064
5 to 9,Population,SUR,Male,1/1/2014,0M,,25958.796784311
60 to 64,Population,BHR,Male,1/1/2010,0M,,10103.337385178
20 to 24,Population,GMB,Male,1/1/2017,0M,,98577.698897499
75 to 79,Population,TGO,Female,1/1/2015,0M,20922.189701717,
Under 5,Population,UKR,Female,1/1/2013,1M,1204897.68438773,
70 to 74,Population,RUS,Male,1/1/2012,2M,,1929679.62592
45 to 49,Population,FIN,Male,1/1/2011,0M,,189909.14202228
60 to 64,Population,SLE,Male,1/1/2017,0M,,61421.857289584
Under 5,Population,SLB,Male,1/1/2017,0M,,48837.204270149
65 to 69,Population,ZMB,Female,1/1/2015,0M,81407.469604837,
20 to 24,Population,OMN,Male,1/1/2011,0M,,216506.030352029
15 to 19,Population,SOM,Female,1/1/2016,1M,856578.071987197,
30 to 34,Population,SLV,Male,1/1/2014,0M,,187175.894235947
30 to 34,Population,STP,Male,1/1/2009,0M,,5624.068608530
60 to 64,Population,MHL,Female,1/1/2009,0M,492.631386209,
35 to 39,Population,TLS,Female,1/1/2015,0M,28753.158830955,
80 plus,Population,LBY,Female,1/1/2016,0M,29243.343442767,
70 to 74,Population,YEM,Male,1/1/2012,0M,,105056.147995758
35 to 39,Population,IND,Female,1/1/2008,41M,40600136.0128913,
65 to 69,Population,SLB,Male,1/1/2010,0M,,3676.663333187
40 to 44,Population,BLZ,Male,1/1/2013,0M,,9916.692729845
75 to 79,Population,SSD,Female,1/1/2010,0M,14255.710777041,
80 plus,Population,SVK,Male,1/1/2010,0M,,45790.685990664
75 to 79,Population,JOR,Female,1/1/2014,0M,28085.107287326,
5 to 9,Population,USA,Male,1/1/2010,10M,,10473513.6624341
10 to 14,Population,KGZ,Male,1/1/2014,0M,,265018.621926322
55 to 59,Population,CPV,Female,1/1/2011,0M,7517.597828724,
15 to 19,Population,AUT,Male,1/1/2009,0M,,256836.928990845
75 to 79,Population,BWA,Male,1/1/2010,0M,,5679.929003817
45 to 49,Population,UZB,Male,1/1/2013,1M,,819235.726199966
35 to 39,Population,SWE,Male,1/1/2011,0M,,318340.638661099
80 plus,Population,BRN,Female,1/1/2010,0M,1389.722580673,
75 to 79,Population,ATG,Female,1/1/2014,0M,677.168248108,
5 to 9,Population,CAN,Male,1/1/2013,1M,,993259.10921136
25 to 29,Population,NLD,Female,1/1/2012,1M,500642.408371109,
65 to 69,Population,SEN,Female,1/1/2008,0M,77968.632644830,
30 to 34,Population,COG,Female,1/1/2008,0M,151847.511672831,
45 to 49,Population,SUR,Male,1/1/2017,0M,,18920.805115761
60 to 64,Population,GRL,Female,1/1/2015,0M,1181.859508891,
60 to 64,Population,LTU,Male,1/1/2008,0M,,64525.861145789
45 to 49,Population,MHL,Female,1/1/2013,0M,1264.513625570,
75 to 79,Population,MLI,Male,1/1/2015,0M,,52927.262758180
Under 5,Population,TKM,Female,1/1/2009,0M,220578.608386328,
25 to 29,Population,BEL,Female,1/1/2016,0M,363195.957374501,
50 to 54,Population,PAN,Female,1/1/2015,0M,98001.866426967,
25 to 29,Population,USA,Male,1/1/2016,11M,,11354878.0115232
15 to 19,Population,CHL,Female,1/1/2014,1M,658464.824780833,
60 to 64,Population,LBR,Female,1/1/2015,0M,30376.467582450,
45 to 49,Population,SVK,Male,1/1/2010,0M,,188575.836097113
65 to 69,Population,KHM,Male,1/1/2013,0M,,110200.923509306
80 plus,Population,UZB,Male,1/1/2013,0M,,59805.756470647
50 to 54,Population,LVA,Female,1/1/2016,0M,74670.687204412,
65 to 69,Population,ECU,Male,1/1/2017,0M,,206356.793674746
35 to 39,Population,TWN,Male,1/1/2011,1M,,913420.76992677
40 to 44,Population,ZWE,Male,1/1/2014,0M,,304681.917500378
10 to 14,Population,BRA,Female,1/1/2015,8M,8051287.58415789,
30 to 34,Population,CMR,Female,1/1/2017,1M,1000334.84123246,
65 to 69,Population,BLZ,Male,1/1/2009,0M,,2276.939642766
50 to 54,Population,TUR,Female,1/1/2012,2M,2004849.87377693,
45 to 49,Population,JAM,Male,1/1/2015,0M,,83015.670975059
10 to 14,Population,BFA,Female,1/1/2010,1M,1078921.83407112,
30 to 34,Population,TZA,Female,1/1/2008,1M,1420887.20855893,
10 to 14,Population,ARE,Male,1/1/2017,0M,,155593.9372317
20 to 24,Population,LAO,Male,1/1/2012,0M,,331703.997426674
60 to 64,Population,TJK,Female,1/1/2016,0M,98030.813697030,
30 to 34,Population,CIV,Female,1/1/2011,1M,791414.746775157,
30 to 34,Population,DZA,Female,1/1/2012,2M,1643751.96586586,
75 to 79,Population,HUN,Female,1/1/2017,0M,224512.368237498,
Under 5,Population,ECU,Male,1/1/2010,1M,,785805.210941008
70 to 74,Population,WSM,Male,1/1/2012,0M,,1068.929059286
35 to 39,Population,GRC,Female,1/1/2010,0M,412720.23468506,
50 to 54,Population,SEN,Male,1/1/2011,0M,,183940.911105036
Under 5,Population,POL,Male,1/1/2012,1M,,1053750.5779152
45 to 49,Population,BRN,Female,1/1/2010,0M,11726.835718138,
70 to 74,Population,SGP,Male,1/1/2012,0M,,49259.686484398
50 to 54,Population,LSO,Female,1/1/2017,0M,35487.158561192,
60 to 64,Population,UZB,Male,1/1/2009,0M,,210469.487855535
45 to 49,Population,BGD,Female,1/1/2013,4M,3555411.77247563,
55 to 59,Population,BRB,Male,1/1/2012,0M,,8728.622981162
75 to 79,Population,SDN,Male,1/1/2012,0M,,113863.052753782
30 to 34,Population,KAZ,Male,1/1/2017,1M,,741882.061573387
45 to 49,Population,LBY,Female,1/1/2016,0M,205531.970927967,
Under 5,Population,LBN,Female,1/1/2014,0M,441026.50017095,
45 to 49,Population,CIV,Female,1/1/2010,0M,344066.241183891,
50 to 54,Population,CAN,Male,1/1/2015,1M,,1358103.89278586
55 to 59,Population,MNG,Female,1/1/2016,0M,70437.819009645,
10 to 14,Population,ESP,Male,1/1/2012,1M,,1136751.18572717
65 to 69,Population,BFA,Female,1/1/2011,0M,107856.009623482,
30 to 34,Population,BIH,Male,1/1/2014,0M,,128903.309382603
70 to 74,Population,KOR,Female,1/1/2009,1M,884660.361422761,
30 to 34,Population,PRK,Female,1/1/2015,1M,872687.96970178,
60 to 64,Population,MEX,Female,1/1/2017,2M,2239918.77657692,
55 to 59,Population,TCD,Female,1/1/2017,0M,116466.434688329,
45 to 49,Population,GHA,Female,1/1/2013,1M,558585.11564241,
35 to 39,Population,SYC,Male,1/1/2010,0M,,4182.161040044
Under 5,Population,VUT,Male,1/1/2013,0M,,20030.134288614
55 to 59,Population,KOR,Female,1/1/2013,2M,1771202.1008918,
80 plus,Population,VEN,Female,1/1/2015,0M,242960.06624831,
25 to 29,Population,SEN,Male,1/1/2010,0M,,470543.354905523
50 to 54,Population,UGA,Male,1/1/2013,0M,,341275.873345112
25 to 29,Population,SLB,Female,1/1/2008,0M,21760.700043806,
35 to 39,Population,SSD,Male,1/1/2008,0M,,235523.287138987
45 to 49,Population,DNK,Female,1/1/2009,0M,191955.561859509,
20 to 24,Population,PNG,Female,1/1/2012,0M,372883.205526044,
20 to 24,Population,UKR,Male,1/1/2012,2M,,1693389.22819466
Under 5,Population,ARE,Male,1/1/2011,0M,,220703.396797944
80 plus,Population,GUY,Female,1/1/2017,0M,4518.272171807,
20 to 24,Population,CPV,Female,1/1/2010,0M,26492.528282531,
Under 5,Population,AZE,Female,1/1/2011,0M,370443.083396262,
30 to 34,Population,PER,Female,1/1/2017,1M,1256428.5078755,
50 to 54,Population,URY,Female,1/1/2017,0M,103902.459421608,
45 to 49,Population,GUY,Female,1/1/2017,0M,21402.546019554,
30 to 34,Population,ISL,Male,1/1/2013,0M,,11855.415810629
75 to 79,Population,GRC,Male,1/1/2008,0M,,204290.81312695
20 to 24,Population,LTU,Female,1/1/2010,0M,110287.193083664,
20 to 24,Population,MOZ,Male,1/1/2008,1M,,847737.9546194
75 to 79,Population,UGA,Male,1/1/2009,0M,,53455.111271187
70 to 74,Population,AUS,Female,1/1/2012,0M,382222.323095736,
75 to 79,Population,PRI,Male,1/1/2015,0M,,52193.769170348
30 to 34,Population,NPL,Female,1/1/2013,1M,1096574.57098617,
60 to 64,Population,IRN,Male,1/1/2017,1M,,1347592.58953573
20 to 24,Population,DOM,Female,1/1/2014,0M,478417.583451548,
70 to 74,Population,COG,Male,1/1/2010,0M,,16430.892389914
55 to 59,Population,AND,Male,1/1/2013,0M,,2545.776213860
60 to 64,Population,GHA,Female,1/1/2009,0M,221699.972015503,
5 to 9,Population,SEN,Male,1/1/2016,1M,,1035212.58950382
65 to 69,Population,MRT,Male,1/1/2015,0M,,25664.743632719
80 plus,Population,ITA,Female,1/1/2012,2M,2417301.63406136,
70 to 74,Population,GUM,Female,1/1/2016,0M,1678.003258686,
Under 5,Population,LAO,Female,1/1/2013,0M,392421.817631422,
55 to 59,Population,OMN,Male,1/1/2010,0M,,33176.055056560
20 to 24,Population,BHR,Female,1/1/2008,0M,41562.599122037,
5 to 9,Population,MLI,Male,1/1/2009,1M,,1260425.20738581
40 to 44,Population,CUB,Female,1/1/2012,1M,523658.126917099,
40 to 44,Population,DEU,Male,1/1/2009,4M,,3518279.38538101
45 to 49,Population,ETH,Male,1/1/2009,1M,,1220541.01024743
10 to 14,Population,ISR,Female,1/1/2011,0M,332636.121591775,
45 to 49,Population,ITA,Female,1/1/2012,2M,2462732.69525629,
25 to 29,Population,MYS,Male,1/1/2014,2M,,1503377.0226909
30 to 34,Population,LKA,Female,1/1/2017,1M,826572.088387289,
30 to 34,Population,FIN,Male,1/1/2010,0M,,174297.789878658
20 to 24,Population,POL,Female,1/1/2013,1M,1297472.55417592,
40 to 44,Population,SWE,Male,1/1/2010,0M,,331432.359211034
40 to 44,Population,GRC,Female,1/1/2011,0M,426676.325245187,
55 to 59,Population,AGO,Female,1/1/2012,0M,238305.640916204,
75 to 79,Population,IND,Male,1/1/2010,6M,,5641302.23670109
25 to 29,Population,GAB,Female,1/1/2016,0M,77379.323040777,
50 to 54,Population,BFA,Male,1/1/2008,0M,,181467.940786532
65 to 69,Population,DEU,Male,1/1/2013,2M,,1878476.35491271
80 plus,Population,ETH,Male,1/1/2009,0M,,130501.702850686
40 to 44,Population,TWN,Male,1/1/2010,1M,,931517.888496434
15 to 19,Population,PHL,Male,1/1/2014,5M,,5151260.85308175
35 to 39,Population,BWA,Female,1/1/2008,0M,59563.298413878,
40 to 44,Population,SYR,Female,1/1/2016,1M,534597.463649951,
35 to 39,Population,MUS,Female,1/1/2011,0M,44839.229199774,
80 plus,Population,DNK,Female,1/1/2009,0M,146998.811991471,
Under 5,Population,MDA,Male,1/1/2008,0M,,111056.154085828
20 to 24,Population,FJI,Male,1/1/2012,0M,,39528.492347216
5 to 9,Population,CRI,Female,1/1/2009,0M,180076.028201959,
10 to 14,Population,MNE,Male,1/1/2016,0M,,20740.781608196
30 to 34,Population,NZL,Female,1/1/2012,0M,136907.258001532,
55 to 59,Population,VCT,Male,1/1/2016,0M,,3309.786894695
45 to 49,Population,VEN,Female,1/1/2015,1M,862726.323325356,
15 to 19,Population,MOZ,Female,1/1/2011,1M,1308951.91476344,
5 to 9,Population,GUY,Female,1/1/2014,0M,34316.668532667,
15 to 19,Population,MNP,Female,1/1/2016,0M,2362.162127665,
75 to 79,Population,MMR,Female,1/1/2015,0M,320408.98648798,
30 to 34,Population,BRN,Female,1/1/2011,0M,17836.958353716,
20 to 24,Population,HTI,Female,1/1/2012,1M,560329.429687885,
Under 5,Population,BLR,Male,1/1/2016,0M,,288991.346660173
25 to 29,Population,ISR,Male,1/1/2008,0M,,288444.126063122
15 to 19,Population,BHR,Male,1/1/2011,0M,,38135.626750943
30 to 34,Population,LCA,Male,1/1/2017,0M,,6456.055674322
15 to 19,Population,NPL,Female,1/1/2009,2M,1532846.08072117,
5 to 9,Population,GAB,Female,1/1/2010,0M,93189.140024343,
30 to 34,Population,SVK,Male,1/1/2011,0M,,236740.608656465
Under 5,Population,COM,Female,1/1/2015,0M,42968.964477860,
65 to 69,Population,NER,Female,1/1/2014,0M,95868.710216289,
60 to 64,Population,ETH,Male,1/1/2013,1M,,649236.231242928
10 to 14,Population,SLB,Male,1/1/2011,0M,,34061.008264544
5 to 9,Population,PAN,Female,1/1/2013,0M,169061.194816096,
Under 5,Population,COL,Female,1/1/2012,2M,2169856.46420283,
70 to 74,Population,IRQ,Male,1/1/2015,0M,,191788.62306512
65 to 69,Population,COD,Male,1/1/2014,0M,,334272.490956807
40 to 44,Population,HRV,Male,1/1/2010,0M,,151062.309633186
30 to 34,Population,NGA,Male,1/1/2008,5M,,4876411.10825033
5 to 9,Population,TGO,Female,1/1/2009,0M,423203.788108147,
60 to 64,Population,DNK,Female,1/1/2013,0M,172602.627299827,
80 plus,Population,CIV,Female,1/1/2010,0M,32544.479359313,
15 to 19,Population,VNM,Female,1/1/2017,3M,3343493.7474395,
25 to 29,Population,IRL,Female,1/1/2017,0M,150307.458027235,
20 to 24,Population,PRT,Female,1/1/2017,0M,279649.514468367,
Under 5,Population,VIR,Female,1/1/2008,0M,4009.089095417,
70 to 74,Population,KWT,Female,1/1/2014,0M,9908.355055007,
70 to 74,Population,TZA,Male,1/1/2010,0M,,192578.267292294
15 to 19,Population,ISL,Male,1/1/2009,0M,,12129.169031802
40 to 44,Population,ASM,Female,1/1/2014,0M,1700.059960851,
5 to 9,Population,LVA,Female,1/1/2011,0M,47472.107861354,
80 plus,Population,GHA,Female,1/1/2013,0M,75313.750989380,
70 to 74,Population,AND,Male,1/1/2009,0M,,1141.138396995
35 to 39,Population,RWA,Female,1/1/2012,0M,299766.404909518,
Under 5,Population,SOM,Female,1/1/2016,1M,1413803.76871403,
40 to 44,Population,GEO,Male,1/1/2015,0M,,464216.904395836
15 to 19,Population,SLB,Male,1/1/2017,0M,,33593.801739128
40 to 44,Population,CHN,Male,1/1/2016,59M,,58875495.672113
65 to 69,Population,ATG,Female,1/1/2016,0M,1442.869725121,
15 to 19,Population,MDV,Female,1/1/2010,0M,18388.572400527,
15 to 19,Population,HTI,Male,1/1/2013,1M,,536179.629377823
20 to 24,Population,LSO,Female,1/1/2010,0M,102349.392701665,
70 to 74,Population,GHA,Male,1/1/2012,0M,,114257.039501578
65 to 69,Population,UGA,Female,1/1/2012,0M,171567.446955697,
50 to 54,Population,ZWE,Male,1/1/2016,0M,,163015.515197482
35 to 39,Population,LKA,Female,1/1/2011,1M,735606.237264466,
35 to 39,Population,SUR,Male,1/1/2010,0M,,19554.021948630
60 to 64,Population,BFA,Female,1/1/2017,0M,177965.836903817,
5 to 9,Population,FSM,Female,1/1/2009,0M,6364.096435786,
55 to 59,Population,DNK,Male,1/1/2012,0M,,175866.294274188
5 to 9,Population,JPN,Female,1/1/2015,3M,2676742.93444975,
75 to 79,Population,CUB,Male,1/1/2013,0M,,131511.799836368
65 to 69,Population,CHE,Male,1/1/2015,0M,,209974.129684239
25 to 29,Population,ESP,Female,1/1/2013,1M,1467423.50543449,
80 plus,Population,GNQ,Female,1/1/2015,0M,2364.250790398,
5 to 9,Population,ARG,Female,1/1/2016,2M,1688657.40839362,
70 to 74,Population,TJK,Female,1/1/2014,0M,31167.243985613,
40 to 44,Population,KAZ,Male,1/1/2010,1M,,515854.969128512
20 to 24,Population,NZL,Male,1/1/2009,0M,,141995.446967206
15 to 19,Population,UKR,Female,1/1/2013,1M,1156572.71651737,
50 to 54,Population,TCD,Female,1/1/2011,0M,126667.258536123,
55 to 59,Population,DMA,Female,1/1/2015,0M,1649.588243620,
15 to 19,Population,FJI,Female,1/1/2013,0M,38751.287479560,
15 to 19,Population,PNG,Male,1/1/2013,0M,,467065.365701191
40 to 44,Population,CMR,Female,1/1/2010,0M,433647.708025857,
60 to 64,Population,ARE,Male,1/1/2010,0M,,25166.676430550
10 to 14,Population,BHR,Male,1/1/2017,0M,,44196.146458779
30 to 34,Population,MUS,Female,1/1/2017,0M,43353.712005466,
60 to 64,Population,GTM,Male,1/1/2015,0M,,167352.085836531
45 to 49,Population,GNQ,Female,1/1/2015,0M,20455.569178500,
5 to 9,Population,GIN,Male,1/1/2009,1M,,755201.085779864
10 to 14,Population,SLE,Male,1/1/2010,0M,,389326.305238132
25 to 29,Population,AFG,Female,1/1/2015,1M,899476.499712083,
15 to 19,Population,ISR,Female,1/1/2017,0M,341721.712230683,
80 plus,Population,AGO,Male,1/1/2009,0M,,20072.611681799
15 to 19,Population,BTN,Female,1/1/2014,0M,41358.051083830,
45 to 49,Population,QAT,Male,1/1/2015,0M,,130913.436110755
30 to 34,Population,FJI,Female,1/1/2009,0M,32681.085450674,
30 to 34,Population,CAF,Female,1/1/2008,0M,135485.544946635,
40 to 44,Population,LVA,Female,1/1/2014,0M,70968.312781700,
50 to 54,Population,DEU,Female,1/1/2012,3M,3221759.80581924,
Under 5,Population,STP,Male,1/1/2013,0M,,13192.585336012
10 to 14,Population,MOZ,Female,1/1/2017,2M,2175144.52365157,
10 to 14,Population,VNM,Female,1/1/2011,3M,3406591.84675928,
10 to 14,Population,PRT,Male,1/1/2008,0M,,289223.370156607
5 to 9,Population,SRB,Female,1/1/2013,0M,247875.517445144,
25 to 29,Population,VNM,Male,1/1/2008,4M,,3941359.78943996
15 to 19,Population,IRL,Male,1/1/2008,0M,,148863.554476337
40 to 44,Population,GUY,Female,1/1/2011,0M,23843.355944719,
5 to 9,Population,ZMB,Male,1/1/2012,1M,,1093741.28972622
55 to 59,Population,LBY,Female,1/1/2014,0M,92137.901823392,
55 to 59,Population,ETH,Female,1/1/2012,1M,775523.243014965,
60 to 64,Population,MDG,Male,1/1/2016,0M,,192589.54960312
25 to 29,Population,ARG,Female,1/1/2010,2M,1639584.5986818,
80 plus,Population,ROU,Female,1/1/2016,1M,547082.338652238,
Under 5,Population,OMN,Female,1/1/2008,0M,144565.307541585,
15 to 19,Population,TKM,Female,1/1/2009,0M,233140.570757445,
50 to 54,Population,GMB,Male,1/1/2010,0M,,21101.517985475
70 to 74,Population,BEN,Male,1/1/2014,0M,,36534.390500694
35 to 39,Population,BRN,Female,1/1/2017,0M,18054.999118806,
75 to 79,Population,SVN,Female,1/1/2010,0M,45232.101544688,
55 to 59,Population,MDA,Female,1/1/2010,0M,142901.091306852,
80 plus,Population,GRC,Female,1/1/2017,0M,425737.891122563,
35 to 39,Population,FRA,Male,1/1/2015,2M,,2016328.11894529
60 to 64,Population,URY,Male,1/1/2008,0M,,67511.381684192
60 to 64,Population,NAM,Female,1/1/2015,0M,26621.318580995,
5 to 9,Population,GRC,Female,1/1/2014,0M,261940.516446035,
35 to 39,Population,SVK,Male,1/1/2017,0M,,232333.633235863
80 plus,Population,QAT,Male,1/1/2015,0M,,2001.366136880
55 to 59,Population,ITA,Male,1/1/2009,2M,,1805595.62755451
45 to 49,Population,AUS,Male,1/1/2013,1M,,745062.407289293
30 to 34,Population,TKM,Female,1/1/2013,0M,175890.032983075,
35 to 39,Population,LCA,Male,1/1/2011,0M,,6171.125769719
75 to 79,Population,TUN,Male,1/1/2010,0M,,80109.426469074
15 to 19,Population,ECU,Male,1/1/2010,1M,,733501.025122769
50 to 54,Population,CUB,Male,1/1/2009,0M,,332699.570869687
20 to 24,Population,IRL,Female,1/1/2011,0M,153036.124620453,
65 to 69,Population,TCD,Male,1/1/2008,0M,,60254.151812442
40 to 44,Population,GRD,Female,1/1/2010,0M,3259.770730134,
20 to 24,Population,SLV,Male,1/1/2016,0M,,292333.806181799
45 to 49,Population,GRC,Female,1/1/2017,0M,402215.99623021,
35 to 39,Population,PER,Female,1/1/2011,1M,1023383.30350063,
60 to 64,Population,PAK,Male,1/1/2015,2M,,2001619.28467277
65 to 69,Population,JOR,Female,1/1/2016,0M,70796.282068313,
60 to 64,Population,AND,Female,1/1/2012,0M,1730.322912530,
50 to 54,Population,MEX,Male,1/1/2008,2M,,2274037.6770747
35 to 39,Population,USA,Male,1/1/2014,10M,,9917123.26487203
65 to 69,Population,NIC,Female,1/1/2014,0M,55957.681368376,
60 to 64,Population,AGO,Male,1/1/2013,0M,,163586.933195235
5 to 9,Population,CZE,Male,1/1/2010,0M,,247692.334011517
25 to 29,Population,RWA,Male,1/1/2009,0M,,423416.081254008
5 to 9,Population,ASM,Female,1/1/2011,0M,3231.329289636,
45 to 49,Population,ROU,Female,1/1/2016,1M,817985.099522736,
30 to 34,Population,UKR,Female,1/1/2009,2M,1734521.22691925,
70 to 74,Population,BMU,Female,1/1/2015,0M,1466.267882728,
80 plus,Population,AUS,Male,1/1/2013,0M,,355713.251671052
Under 5,Population,CHL,Female,1/1/2014,1M,590639.848535261,
65 to 69,Population,MEX,Female,1/1/2011,1M,1349205.86309491,
15 to 19,Population,POL,Male,1/1/2012,1M,,1155971.87791933
50 to 54,Population,MLT,Female,1/1/2010,0M,15563.128625016,
55 to 59,Population,VIR,Male,1/1/2010,0M,,3540.065354668
75 to 79,Population,GUY,Male,1/1/2008,0M,,2793.929538166
25 to 29,Population,CZE,Male,1/1/2016,0M,,350628.711641945
55 to 59,Population,URY,Female,1/1/2011,0M,92418.405247798,
60 to 64,Population,AZE,Female,1/1/2010,0M,112436.747721821,
45 to 49,Population,AGO,Male,1/1/2009,0M,,346986.226500094
20 to 24,Population,LUX,Female,1/1/2016,0M,17445.153227488,
60 to 64,Population,KOR,Male,1/1/2012,1M,,1154007.73536081
15 to 19,Population,LBN,Female,1/1/2014,0M,374446.409509451,
25 to 29,Population,PRT,Female,1/1/2011,0M,339574.340856585,
50 to 54,Population,NOR,Male,1/1/2014,0M,,169511.41748804
30 to 34,Population,HTI,Male,1/1/2009,0M,,338509.113189728
70 to 74,Population,ITA,Male,1/1/2013,1M,,1426017.76772122
30 to 34,Population,KEN,Female,1/1/2008,1M,1287812.94225794,
20 to 24,Population,BHS,Female,1/1/2016,0M,15841.056348088,
50 to 54,Population,IRN,Female,1/1/2008,2M,1562771.27735393,
Under 5,Population,AUT,Male,1/1/2009,0M,,201708.007890146
30 to 34,Population,PNG,Male,1/1/2009,0M,,264631.786785515
35 to 39,Population,BEL,Female,1/1/2014,0M,356679.166357591,
60 to 64,Population,AUS,Male,1/1/2009,1M,,571938.257522829
65 to 69,Population,IRN,Male,1/1/2011,1M,,655145.419951834
5 to 9,Population,DEU,Female,1/1/2009,2M,1783657.49390425,
40 to 44,Population,TGO,Male,1/1/2009,0M,,141801.377414039
45 to 49,Population,ZAF,Male,1/1/2012,1M,,1212545.07176832
75 to 79,Population,SRB,Female,1/1/2012,0M,178712.050862561,
75 to 79,Population,MNE,Female,1/1/2010,0M,9798.758459211,
35 to 39,Population,USA,Female,1/1/2011,10M,9885079.61929987,
65 to 69,Population,MLI,Female,1/1/2013,0M,99131.677933786,
